"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TATACOMM","EQ","13-Apr-2023","1,262.75","1,261.00","1,275.40","1,259.90","1,268.00","1,266.05","1,268.06","1,30,255","16,51,70,740.20","11,089","56,557","43.42"
"TATACOMM","EQ","17-Apr-2023","1,266.05","1,266.05","1,266.05","1,232.75","1,245.00","1,244.25","1,247.95","2,05,706","25,67,09,836.90","15,714","58,850","28.61"
"TATACOMM","EQ","18-Apr-2023","1,244.25","1,244.25","1,244.60","1,178.00","1,212.55","1,212.70","1,205.07","10,03,086","1,20,87,87,380.75","43,819","1,66,234","16.57"
"TATACOMM","EQ","19-Apr-2023","1,212.70","1,214.30","1,221.80","1,186.00","1,188.00","1,193.25","1,195.33","6,72,020","80,32,88,200.50","26,754","1,31,761","19.61"
"TATACOMM","EQ","20-Apr-2023","1,193.25","1,179.00","1,248.35","1,172.00","1,226.00","1,232.30","1,214.51","27,06,008","3,28,64,64,973.65","89,223","2,13,823","7.90"
"TATACOMM","EQ","21-Apr-2023","1,232.30","1,229.80","1,245.00","1,200.60","1,241.00","1,240.90","1,228.44","8,09,633","99,45,88,814.10","33,255","1,40,849","17.40"
"TATACOMM","EQ","24-Apr-2023","1,240.90","1,244.00","1,262.35","1,230.05","1,250.00","1,254.10","1,248.60","5,46,831","68,27,75,424.30","28,084","1,35,885","24.85"
"TATACOMM","EQ","25-Apr-2023","1,254.10","1,254.95","1,258.00","1,233.20","1,233.20","1,236.25","1,246.64","3,84,412","47,92,23,489.35","20,282","1,68,387","43.80"
"TATACOMM","EQ","26-Apr-2023","1,236.25","1,231.25","1,247.00","1,220.40","1,242.00","1,244.40","1,235.84","2,84,299","35,13,46,708.75","16,787","57,468","20.21"
"TATACOMM","EQ","27-Apr-2023","1,244.40","1,242.00","1,258.00","1,240.00","1,250.00","1,249.30","1,247.98","3,24,668","40,51,79,049.15","18,528","1,48,131","45.63"
"TATACOMM","EQ","28-Apr-2023","1,249.30","1,259.00","1,278.00","1,255.15","1,269.00","1,269.50","1,270.85","3,87,631","49,26,20,661.05","23,302","1,81,032","46.70"
"TATACOMM","EQ","02-May-2023","1,269.50","1,269.00","1,271.40","1,250.35","1,253.00","1,256.95","1,257.88","2,46,846","31,05,02,634.20","18,204","1,08,808","44.08"
"TATACOMM","EQ","03-May-2023","1,256.95","1,250.10","1,254.05","1,235.00","1,238.00","1,238.30","1,242.36","2,58,337","32,09,48,204.75","12,149","1,18,040","45.69"
"TATACOMM","EQ","04-May-2023","1,238.30","1,240.00","1,249.25","1,230.00","1,236.00","1,234.85","1,238.88","1,97,613","24,48,19,524.85","8,930","1,10,997","56.17"
